unit,timestamp,start,end,value
kcal,2023-11-11 08:00:00,2023-11-11 08:00:00,2023-11-12 08:00:00,85.0
kcal,2023-11-12 08:00:00,2023-11-12 08:00:00,2023-11-13 08:00:00,879.0
kcal,2023-11-13 08:00:00,2023-11-13 08:00:00,2023-11-14 08:00:00,820.0
kcal,2023-11-14 08:00:00,2023-11-14 08:00:00,2023-11-15 08:00:00,241.0
kcal,2023-11-15 08:00:00,2023-11-15 08:00:00,2023-11-16 08:00:00,380.0
kcal,2023-11-16 08:00:00,2023-11-16 08:00:00,2023-11-17 08:00:00,245.0
kcal,2023-11-17 08:00:00,2023-11-17 08:00:00,2023-11-17 23:59:59,121.0
kcal,2023-11-13 14:54:00,2023-11-13 14:54:00,2023-11-13 14:55:00,1.7131199836730957
kcal,2023-11-13 14:58:00,2023-11-13 14:58:00,2023-11-13 14:59:00,2.997960090637207
kcal,2023-11-13 14:59:00,2023-11-13 14:59:00,2023-11-13 15:00:00,3.4262399673461914
kcal,2023-11-13 15:00:00,2023-11-13 15:00:00,2023-11-13 15:01:00,2.997960090637207
kcal,2023-11-13 15:01:00,2023-11-13 15:01:00,2023-11-13 15:02:00,4.068659782409668
kcal,2023-11-13 15:03:00,2023-11-13 15:03:00,2023-11-13 15:04:00,2.569679975509644
kcal,2023-11-13 15:07:00,2023-11-13 15:07:00,2023-11-13 15:08:00,1.9272600412368772
kcal,2023-11-13 15:08:00,2023-11-13 15:08:00,2023-11-13 15:09:00,1.9272600412368772
kcal,2023-11-13 16:11:00,2023-11-13 16:11:00,2023-11-13 16:12:00,2.783819913864136
kcal,2023-11-13 16:25:00,2023-11-13 16:25:00,2023-11-13 16:26:00,4.068659782409668
kcal,2023-11-13 16:33:00,2023-11-13 16:33:00,2023-11-13 16:34:00,3.640379905700684
kcal,2023-11-13 16:39:00,2023-11-13 16:39:00,2023-11-13 16:40:00,3.4262399673461914
kcal,2023-11-17 15:49:00,2023-11-17 15:49:00,2023-11-17 15:50:00,2.997960090637207
kcal,2023-11-17 16:04:00,2023-11-17 16:04:00,2023-11-17 16:05:00,2.783819913864136
kcal,2023-11-17 16:05:00,2023-11-17 16:05:00,2023-11-17 16:06:00,3.4262399673461914
kcal,2023-11-17 16:17:00,2023-11-17 16:17:00,2023-11-17 16:18:00,3.4262399673461914
