id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-12 06:20:03+00:00,2023-11-12 06:20:03+00:00,2023-11-12 06:25:03+00:00,4.0
,-28800,,stage,2023-11-12 06:25:03+00:00,2023-11-12 06:25:03+00:00,2023-11-12 06:30:03+00:00,4.0
,-28800,,stage,2023-11-12 06:30:03+00:00,2023-11-12 06:30:03+00:00,2023-11-12 06:35:03+00:00,4.0
,-28800,,stage,2023-11-12 06:35:03+00:00,2023-11-12 06:35:03+00:00,2023-11-12 06:40:03+00:00,4.0
,-28800,,stage,2023-11-12 06:40:03+00:00,2023-11-12 06:40:03+00:00,2023-11-12 06:45:03+00:00,2.0
,-28800,,stage,2023-11-12 06:45:03+00:00,2023-11-12 06:45:03+00:00,2023-11-12 06:50:03+00:00,2.0
,-28800,,stage,2023-11-12 06:50:03+00:00,2023-11-12 06:50:03+00:00,2023-11-12 06:55:03+00:00,2.0
,-28800,,stage,2023-11-12 06:55:03+00:00,2023-11-12 06:55:03+00:00,2023-11-12 07:00:03+00:00,1.0
,-28800,,stage,2023-11-12 07:00:03+00:00,2023-11-12 07:00:03+00:00,2023-11-12 07:05:03+00:00,1.0
,-28800,,stage,2023-11-12 07:05:03+00:00,2023-11-12 07:05:03+00:00,2023-11-12 07:10:03+00:00,1.0
,-28800,,stage,2023-11-12 07:10:03+00:00,2023-11-12 07:10:03+00:00,2023-11-12 07:15:03+00:00,1.0
,-28800,,stage,2023-11-12 07:15:03+00:00,2023-11-12 07:15:03+00:00,2023-11-12 07:20:03+00:00,1.0
,-28800,,stage,2023-11-12 07:20:03+00:00,2023-11-12 07:20:03+00:00,2023-11-12 07:25:03+00:00,1.0
,-28800,,stage,2023-11-12 07:25:03+00:00,2023-11-12 07:25:03+00:00,2023-11-12 07:30:03+00:00,1.0
,-28800,,stage,2023-11-12 07:30:03+00:00,2023-11-12 07:30:03+00:00,2023-11-12 07:35:03+00:00,2.0
,-28800,,stage,2023-11-12 07:35:03+00:00,2023-11-12 07:35:03+00:00,2023-11-12 07:40:03+00:00,1.0
,-28800,,stage,2023-11-12 07:40:03+00:00,2023-11-12 07:40:03+00:00,2023-11-12 07:45:03+00:00,1.0
,-28800,,stage,2023-11-12 07:45:03+00:00,2023-11-12 07:45:03+00:00,2023-11-12 07:50:03+00:00,1.0
,-28800,,stage,2023-11-12 07:50:03+00:00,2023-11-12 07:50:03+00:00,2023-11-12 07:55:03+00:00,3.0
,-28800,,stage,2023-11-12 07:55:03+00:00,2023-11-12 07:55:03+00:00,2023-11-12 08:00:03+00:00,4.0
,-28800,,stage,2023-11-12 08:00:03+00:00,2023-11-12 08:00:03+00:00,2023-11-12 08:05:03+00:00,2.0
,-28800,,stage,2023-11-12 08:05:03+00:00,2023-11-12 08:05:03+00:00,2023-11-12 08:10:03+00:00,2.0
,-28800,,stage,2023-11-12 08:10:03+00:00,2023-11-12 08:10:03+00:00,2023-11-12 08:15:03+00:00,2.0
,-28800,,stage,2023-11-12 08:15:03+00:00,2023-11-12 08:15:03+00:00,2023-11-12 08:20:03+00:00,2.0
,-28800,,stage,2023-11-12 08:20:03+00:00,2023-11-12 08:20:03+00:00,2023-11-12 08:25:03+00:00,1.0
