id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,count,2023-11-11 08:00:00+00:00,2023-11-11 08:00:00+00:00,2023-11-12 08:00:00+00:00,1500.0
,-28800,,count,2023-11-12 08:00:00+00:00,2023-11-12 08:00:00+00:00,2023-11-13 08:00:00+00:00,14640.0
,-28800,,count,2023-11-13 08:00:00+00:00,2023-11-13 08:00:00+00:00,2023-11-14 08:00:00+00:00,12546.0
,-28800,,count,2023-11-14 08:00:00+00:00,2023-11-14 08:00:00+00:00,2023-11-15 08:00:00+00:00,5318.0
,-28800,,count,2023-11-15 08:00:00+00:00,2023-11-15 08:00:00+00:00,2023-11-16 08:00:00+00:00,8329.0
,-28800,,count,2023-11-16 08:00:00+00:00,2023-11-16 08:00:00+00:00,2023-11-17 08:00:00+00:00,5125.0
,-28800,,count,2023-11-17 08:00:00+00:00,2023-11-17 08:00:00+00:00,2023-11-17 23:59:59+00:00,2664.0
,-28800,,count,2023-11-13 14:54:00+00:00,2023-11-13 14:54:00+00:00,2023-11-13 14:55:00+00:00,5.0
,-28800,,count,2023-11-13 14:58:00+00:00,2023-11-13 14:58:00+00:00,2023-11-13 14:59:00+00:00,16.0
,-28800,,count,2023-11-13 14:59:00+00:00,2023-11-13 14:59:00+00:00,2023-11-13 15:00:00+00:00,30.0
,-28800,,count,2023-11-13 15:00:00+00:00,2023-11-13 15:00:00+00:00,2023-11-13 15:01:00+00:00,23.0
,-28800,,count,2023-11-13 15:01:00+00:00,2023-11-13 15:01:00+00:00,2023-11-13 15:02:00+00:00,48.0
,-28800,,count,2023-11-13 15:03:00+00:00,2023-11-13 15:03:00+00:00,2023-11-13 15:04:00+00:00,6.0
,-28800,,count,2023-11-13 15:07:00+00:00,2023-11-13 15:07:00+00:00,2023-11-13 15:08:00+00:00,15.0
,-28800,,count,2023-11-13 15:08:00+00:00,2023-11-13 15:08:00+00:00,2023-11-13 15:09:00+00:00,3.0
,-28800,,count,2023-11-13 16:11:00+00:00,2023-11-13 16:11:00+00:00,2023-11-13 16:12:00+00:00,12.0
,-28800,,count,2023-11-13 16:25:00+00:00,2023-11-13 16:25:00+00:00,2023-11-13 16:26:00+00:00,44.0
,-28800,,count,2023-11-13 16:33:00+00:00,2023-11-13 16:33:00+00:00,2023-11-13 16:34:00+00:00,35.0
,-28800,,count,2023-11-13 16:39:00+00:00,2023-11-13 16:39:00+00:00,2023-11-13 16:40:00+00:00,37.0
,-28800,,count,2023-11-17 15:49:00+00:00,2023-11-17 15:49:00+00:00,2023-11-17 15:50:00+00:00,23.0
,-28800,,count,2023-11-17 16:04:00+00:00,2023-11-17 16:04:00+00:00,2023-11-17 16:05:00+00:00,11.0
,-28800,,count,2023-11-17 16:05:00+00:00,2023-11-17 16:05:00+00:00,2023-11-17 16:06:00+00:00,33.0
,-28800,,count,2023-11-17 16:17:00+00:00,2023-11-17 16:17:00+00:00,2023-11-17 16:18:00+00:00,26.0
